"filename", "language", "JavaScript", "JSON", "HTML", "CSS", "XML", "comment", "blank", "total"
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\.eleventy.js", "JavaScript", 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\package-lock.json", "JSON", 0, 2209, 0, 0, 0, 0, 1, 2210
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\package.json", "JSON", 0, 16, 0, 0, 0, 0, 1, 17
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\about-more\index.html", "HTML", 0, 0, 171, 0, 0, 0, 6, 177
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\assets\10.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\assets\13-cropped.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\assets\13.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\assets\7-cropped.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\assets\7.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\assets\acclaim-square-cropped.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\assets\acclaim-square.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\assets\cold-svgrepo-com.svg", "XML", 0, 0, 0, 0, 8, 1, 7, 16
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\assets\cross-svgrepo-com.svg", "XML", 0, 0, 0, 0, 6, 1, 5, 12
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\assets\energy-svgrepo-com.svg", "XML", 0, 0, 0, 0, 6, 1, 5, 12
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\assets\logo-blk-blk-cropped.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\assets\logo-blk-blk.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\assets\logo-blk-white.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\assets\logo-white-white.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\assets\money-dollar-svgrepo-com.svg", "XML", 0, 0, 0, 0, 6, 1, 5, 12
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\assets\money-svgrepo-com.svg", "XML", 0, 0, 0, 0, 8, 1, 7, 16
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\index.html", "HTML", 0, 0, 291, 0, 0, 0, 10, 301
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\inspection\index.html", "HTML", 0, 0, 110, 0, 0, 0, 5, 115
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\pdf-pages\cool-roofs.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\pdf-pages\cool-roofs.njk", "HTML", 0, 0, 19, 0, 0, 0, 2, 21
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\pdf-pages\cool-roofs\index.html", "HTML", 0, 0, 101, 0, 0, 0, 6, 107
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\pdf-pages\fabric-reinforced.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\pdf-pages\fabric-reinforced.njk", "HTML", 0, 0, 19, 0, 0, 0, 1, 20
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\pdf-pages\fabric-reinforced\index.html", "HTML", 0, 0, 101, 0, 0, 0, 5, 106
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\pdf-pages\membrane-roofs.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\pdf-pages\membrane-roofs.njk", "HTML", 0, 0, 18, 0, 0, 0, 1, 19
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\pdf-pages\membrane-roofs\index.html", "HTML", 0, 0, 100, 0, 0, 0, 5, 105
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\pdf-pages\metal-roofs.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\pdf-pages\metal-roofs.njk", "HTML", 0, 0, 17, 0, 0, 0, 1, 18
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\pdf-pages\metal-roofs\index.html", "HTML", 0, 0, 99, 0, 0, 0, 5, 104
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\pdf-pages\scripts.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\pdf-pages\single-ply.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\pdf-pages\single-ply.njk", "HTML", 0, 0, 19, 0, 0, 0, 1, 20
"c:\Users\gil20\OneDrive\Documents\Keystone-Roofing-Site\public\pdf-pages\single-ply\index.html", "HTML", 0, 0, 101, 0, 0, 0, 5, 106
